DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
BD202200000001,BDGE81FL,BD,2022,1,BD2022DHS,2189.036377,2383.28125,2528.12915,2684.516602,3180.602783,49.87321854,46.92482758,48.69668961,65.16631317,59.46130371,27.58022881,27.07200241,27.12678337,27.21640205,27.32009125,9.003688812,8.577503204,8.96151638,8.801186562,8.725896835,4,7.852539063,0.345829815,0.366987675,0.364920348,0.357784212,0.369609773,0,0,0,0,0,67.83491516,11,14.50603294,24.5025177,24.57916069,24.57569504,24.6667366,24.80175018,139.7397308,3374.29248,192.100296,0.019557199,7.980947971,29.84901619,30.3713398,30.98958397,29.76996613,29.78177071,25.32147026,26.05008698,26.48466492,25.35146141,25.39778709,20.84532738,21.79383659,22.02806664,20.96878052,21.05587387,1.777933002,21.42480659,22.08632088,22.0246067,22.11707115,22.28340912,3.374450207,3.341594458,3.363672018,3.262644768,3.247801065,168.294693,156.8037567,163.7996979,212.6145325,193.1184845,2269.731689,1897.095581,1828.055054,2449.26123,2206.280518,18.95098305,21.87460709,26.13636971,28.44058228,29.01735878,28.56028557,28.08900261,28.17432213,28.26165581,27.38728523,24.23367882,20.04894066,2.620733261,6440.17627,6485.467285,4198.134766,4155.913086,3865.264648,46650.87109,46958.17969,45935.65625,44858.21875,43553.37891,2350.975342,2366.462158,2314.932129,2260.634521,2194.876953,7.772508621,7.488617897,7.638654709,7.812721252,7.707336426
BD202200000002,BDGE81FL,BD,2022,2,BD2022DHS,1880.963989,2047.871948,2172.334961,2306.713379,2808.276611,50.60934448,47.63572693,49.45225525,66.58502197,60.61381912,27.30993843,26.88577461,26.59194374,27.0033474,26.9802742,8.983636856,8.537948608,8.926677704,8.777632713,8.705005646,4,6.837789536,0.308291614,0.322899401,0.327998191,0.324774355,0.317220181,0,0,0,0,0,73.53287506,11,15.00481129,24.33760834,24.52568817,24.33969879,24.57120514,24.79254532,60.04069901,969.616394,89.2072525,0.008732911,12.23082829,29.83084488,30.34307098,30.9659729,29.75086784,29.76683998,25.31464195,26.04192734,26.47714043,25.34385109,25.39162445,20.84720802,21.80512238,22.03929329,20.97323608,21.06183434,0.845130444,21.36527634,22.16560173,22.08745384,22.13906288,22.60481453,3.370341539,3.337398767,3.362196207,3.260619164,3.243171453,170.570755,158.9794159,166.2681885,217.1083984,196.5810089,2335.006104,1928.169678,1854.856567,2478.11499,2306.22583,18.96932602,21.85956383,26.03077698,28.35840034,28.98053741,28.52149391,28.06391525,28.15582275,28.25663185,27.36901474,24.25075722,20.07445526,5.960808754,6440.17627,6485.467285,4198.134766,4155.913086,3865.264648,38942.09375,39198.61719,38345.0625,37445.66406,36356.44531,2356.141357,2371.662109,2320.018799,2265.601807,2199.699951,7.771275997,7.527509689,7.654296875,7.847782135,7.735215664
BD202200000003,BDGE81FL,BD,2022,3,BD2022DHS,1880.963989,2047.871948,2172.334961,2306.713379,2808.276611,50.60934448,47.63572693,49.45225525,66.58502197,60.61381912,27.30993843,26.88577461,26.59194374,27.0033474,26.9802742,8.983636856,8.537948608,8.926677704,8.777632713,8.705005646,4,6.837789536,0.308291614,0.322899401,0.327998191,0.324774355,0.317220181,0,0,0,0,0,73.53287506,11,15.00481129,24.33760834,24.52568817,24.33969879,24.57120514,24.79254532,60.04069901,969.616394,89.2072525,0.008732911,12.23082829,29.83084488,30.34307098,30.9659729,29.75086784,29.76683998,25.31464195,26.04192734,26.47714043,25.34385109,25.39162445,20.84720802,21.80512238,22.03929329,20.97323608,21.06183434,0.845130444,21.36527634,22.16560173,22.08745384,22.13906288,22.60481453,3.370341539,3.337398767,3.362196207,3.260619164,3.243171453,170.570755,158.9794159,166.2681885,217.1083984,196.5810089,2335.006104,1928.169678,1854.856567,2478.11499,2306.22583,18.96932602,21.85956383,26.03077698,28.35840034,28.98053741,28.52149391,28.06391525,28.15582275,28.25663185,27.36901474,24.25075722,20.07445526,5.960808754,6440.17627,6485.467285,4198.134766,4155.913086,3865.264648,38942.09375,39198.61719,38345.0625,37445.66406,36356.44531,2356.141357,2371.662109,2320.018799,2265.601807,2199.699951,7.771275997,7.527509689,7.654296875,7.847782135,7.735215664
BD202200000004,BDGE81FL,BD,2022,4,BD2022DHS,2743.780762,2987.251221,3168.806152,3364.825439,3441.642334,50.42084122,47.38916397,48.91963196,65.82888794,60.00188065,27.84038162,27.34148598,27.13395691,27.73786926,27.67308998,8.965233803,8.537369728,8.915103912,8.758419991,8.685330391,4,7.233203411,0.328934103,0.339473784,0.354135096,0.348271698,0.359687448,0,0,0,0,0,71.54872131,11,13.84443283,24.43414879,24.64965057,24.38612556,24.76247978,24.93218994,153.0767365,3420.306885,234.5873718,1.000472069,7.489946365,29.84079933,30.35985374,30.97361183,29.75711823,29.77170181,25.33246613,26.05859375,26.4921875,25.3592453,25.40794373,20.87556458,21.82248306,22.05850792,20.99869919,21.08637238,2.982862949,21.02791595,21.95781326,21.63829422,21.7870903,22.19128799,3.377517462,3.345616341,3.364626884,3.265017509,3.251041651,170.2972717,158.5459747,164.5963135,214.9324646,195.0686188,2283.391113,1900.770386,1872.064453,2473.565674,2260.668213,18.97339439,21.88902283,26.12070274,28.44737625,29.02852058,28.57831383,28.10863686,28.16423798,28.30254555,27.38733673,24.23347473,20.07004547,0.569836736,17090.58008,16850.22656,18166.10352,16412.31055,15310.22363,43597.82813,43885.02344,42929.41797,41922.49219,40703.05078,2356.141357,2371.662109,2320.018799,2265.601807,2199.699951,7.800234318,7.493216038,7.641171932,7.817261219,7.719787121
BD202200000005,BDGE81FL,BD,2022,5,BD2022DHS,2743.780762,2987.251221,3168.806152,3364.825439,3441.642334,50.42084122,47.38916397,48.91963196,65.82888794,60.00188065,27.84038162,27.34148598,27.13395691,27.73786926,27.67308998,8.965233803,8.537369728,8.915103912,8.758419991,8.685330391,4,7.233203411,0.328934103,0.339473784,0.354135096,0.348271698,0.359687448,0,0,0,0,0,71.54872131,11,13.84443283,24.43414879,24.64965057,24.38612556,24.76247978,24.93218994,153.0767365,3420.306885,234.5873718,1.000472069,7.489946365,29.84079933,30.35985374,30.97361183,29.75711823,29.77170181,25.33246613,26.05859375,26.4921875,25.3592453,25.40794373,20.87556458,21.82248306,22.05850792,20.99869919,21.08637238,2.982862949,21.02791595,21.95781326,21.63829422,21.7870903,22.19128799,3.377517462,3.345616341,3.364626884,3.265017509,3.251041651,170.2972717,158.5459747,164.5963135,214.9324646,195.0686188,2283.391113,1900.770386,1872.064453,2473.565674,2260.668213,18.97339439,21.88902283,26.12070274,28.44737625,29.02852058,28.57831383,28.10863686,28.16423798,28.30254555,27.38733673,24.23347473,20.07004547,0.569836736,17090.58008,16850.22656,18166.10352,16412.31055,15310.22363,43597.82813,43885.02344,42929.41797,41922.49219,40703.05078,2356.141357,2371.662109,2320.018799,2265.601807,2199.699951,7.800234318,7.493216038,7.641171932,7.817261219,7.719787121
BD202200000006,BDGE81FL,BD,2022,6,BD2022DHS,2743.780762,2987.251221,3168.806152,3364.825439,3441.642334,50.42084122,47.38916397,48.91963196,65.82888794,60.00188065,27.84038162,27.34148598,27.13395691,27.73786926,27.67308998,8.965233803,8.537369728,8.915103912,8.758419991,8.685330391,4,7.233203411,0.328934103,0.339473784,0.354135096,0.348271698,0.359687448,0,0,0,0,0,71.54872131,11,13.84443283,24.43414879,24.64965057,24.38612556,24.76247978,24.93218994,153.0767365,3420.306885,234.5873718,1.000472069,7.489946365,29.84079933,30.35985374,30.97361183,29.75711823,29.77170181,25.33246613,26.05859375,26.4921875,25.3592453,25.40794373,20.87556458,21.82248306,22.05850792,20.99869919,21.08637238,2.982862949,21.02791595,21.95781326,21.63829422,21.7870903,22.19128799,3.377517462,3.345616341,3.364626884,3.265017509,3.251041651,170.2972717,158.5459747,164.5963135,214.9324646,195.0686188,2283.391113,1900.770386,1872.064453,2473.565674,2260.668213,18.97339439,21.88902283,26.12070274,28.44737625,29.02852058,28.57831383,28.10863686,28.16423798,28.30254555,27.38733673,24.23347473,20.07004547,0.569836736,17090.58008,16850.22656,18166.10352,16412.31055,15310.22363,43597.82813,43885.02344,42929.41797,41922.49219,40703.05078,2356.141357,2371.662109,2320.018799,2265.601807,2199.699951,7.800234318,7.493216038,7.641171932,7.817261219,7.719787121
BD202200000007,BDGE81FL,BD,2022,7,BD2022DHS,2189.036377,2383.28125,2528.12915,2684.516602,3180.602783,49.87321854,46.92482758,48.69668961,65.16631317,59.46130371,27.58022881,27.07200241,27.12678337,27.21640205,27.32009125,9.003688812,8.577503204,8.96151638,8.801186562,8.725896835,4,7.852539063,0.345829815,0.366987675,0.364920348,0.357784212,0.369609773,0,0,0,0,0,67.83491516,11,14.50603294,24.5025177,24.57916069,24.57569504,24.6667366,24.80175018,139.7397308,3374.29248,192.100296,0.019557199,7.980947971,29.84901619,30.3713398,30.98958397,29.76996613,29.78177071,25.32147026,26.05008698,26.48466492,25.35146141,25.39778709,20.84532738,21.79383659,22.02806664,20.96878052,21.05587387,1.777933002,21.42480659,22.08632088,22.0246067,22.11707115,22.28340912,3.374450207,3.341594458,3.363672018,3.262644768,3.247801065,168.294693,156.8037567,163.7996979,212.6145325,193.1184845,2269.731689,1897.095581,1828.055054,2449.26123,2206.280518,18.95098305,21.87460709,26.13636971,28.44058228,29.01735878,28.56028557,28.08900261,28.17432213,28.26165581,27.38728523,24.23367882,20.04894066,2.620733261,13050.7998,11637.19141,10692.71875,9996.264648,9021.97168,46650.87109,46958.17969,45935.65625,44858.21875,43553.37891,2350.975342,2366.462158,2314.932129,2260.634521,2194.876953,7.772508621,7.488617897,7.638654709,7.812721252,7.707336426
BD202200000008,BDGE81FL,BD,2022,8,BD2022DHS,959.9801025,1045.164429,1108.685913,1177.268066,1257.201538,49.68305969,46.69984818,48.1893425,64.4424057,58.88483429,27.62859154,26.98485756,26.82927132,27.38184547,27.5328064,8.98372364,8.574088097,8.947395325,8.780468941,8.704948425,4,6.049153805,0.344923288,0.37050575,0.372558326,0.39000991,0.404350907,0,0,0,0,0,50.11127472,11,10.74984455,24.38419151,24.54388809,24.24060059,24.5541954,24.79947662,169.3139191,2859.954346,262.6236572,6.509550571,5.276728153,29.85781288,30.38632965,30.99583435,29.77552223,29.78593826,25.33906364,26.06640625,26.49947929,25.36679649,25.4139328,20.87409019,21.81223869,22.04843712,20.99505234,21.08098984,0.414051056,21.13979149,22.10291672,21.65193176,21.72654343,22.06614685,3.381510496,3.349869967,3.366276026,3.266927242,3.255208492,168.0037842,156.4384155,162.2186279,210.528656,191.6824188,2244.748047,1901.500854,1876.682617,2481.993896,2196.890869,18.98516273,21.94528008,26.30704117,28.57253075,29.08462334,28.60074043,28.12830925,28.19086075,28.30124664,27.40136528,24.21350861,20.06221581,6.630859375,17090.58008,16850.22656,18166.10352,16412.31055,15310.22363,40070.66797,40327.28906,39441.98047,38509.86328,37382.91016,2020.544189,2033.484253,1988.843018,1941.841431,1885.015381,7.803515911,7.456262589,7.625494957,7.781106472,7.691705704
BD202200000009,BDGE81FL,BD,2022,9,BD2022DHS,2743.780762,2987.251221,3168.806152,3364.825439,3441.642334,50.42084122,47.38916397,48.91963196,65.82888794,60.00188065,27.84038162,27.34148598,27.13395691,27.73786926,27.67308998,8.965233803,8.537369728,8.915103912,8.758419991,8.685330391,4,7.233203411,0.328934103,0.339473784,0.354135096,0.348271698,0.359687448,0,0,0,0,0,71.54872131,11,13.84443283,24.43414879,24.64965057,24.38612556,24.76247978,24.93218994,153.0767365,3420.306885,234.5873718,1.000472069,7.489946365,29.84079933,30.35985374,30.97361183,29.75711823,29.77170181,25.33246613,26.05859375,26.4921875,25.3592453,25.40794373,20.87556458,21.82248306,22.05850792,20.99869919,21.08637238,2.982862949,21.02791595,21.95781326,21.63829422,21.7870903,22.19128799,3.377517462,3.345616341,3.364626884,3.265017509,3.251041651,170.2972717,158.5459747,164.5963135,214.9324646,195.0686188,2283.391113,1900.770386,1872.064453,2473.565674,2260.668213,18.97339439,21.88902283,26.12070274,28.44737625,29.02852058,28.57831383,28.10863686,28.16423798,28.30254555,27.38733673,24.23347473,20.07004547,0.569836736,17090.58008,16850.22656,18166.10352,16412.31055,15310.22363,43597.82813,43885.02344,42929.41797,41922.49219,40703.05078,2356.141357,2371.662109,2320.018799,2265.601807,2199.699951,7.800234318,7.493216038,7.641171932,7.817261219,7.719787121
BD202200000010,BDGE81FL,BD,2022,10,BD2022DHS,899.394043,979.2021484,1038.714722,1102.968506,1167.612671,49.13888168,46.21571732,47.94179153,63.74937057,58.31206512,27.71335602,27.04086876,27.2188549,27.33774948,27.40798187,9.023740768,8.617056847,8.996354103,8.824739456,8.746788025,4,6.504883289,0.379802465,0.395684898,0.394961625,0.401819259,0.427296579,0,0,0,0,0,48.09861755,11,12.82729244,24.50838661,24.50697899,24.50232697,24.56917,24.56483459,151.6772919,3717.412354,258.0919189,0.822140336,6.70988369,29.8671875,30.39961052,31.01319504,29.7890625,29.79670143,25.32829857,26.05824661,26.4921875,25.35907173,25.40394974,20.84344673,21.78255272,22.01683998,20.96432304,21.04991341,0.437022656,21.30341721,21.97309113,21.78579712,21.80059052,21.72168541,3.378559113,3.345789909,3.365147591,3.264670134,3.252430677,166.0186157,154.6280823,161.3312073,208.1206665,189.6559448,2225.392822,1883.52124,1821.45752,2416.891113,2146.693115,18.95671463,21.93050957,26.36058617,28.58498001,29.07593536,28.59518623,28.12428856,28.19891548,28.25578117,27.39151001,24.19787407,20.02993584,4.672851563,3432.755371,2785.174316,2566.858887,2004.63855,1792.527344,44561.47656,44855.01953,43878.29297,42849.10938,41602.71484,2245.680176,2260.473145,2211.250977,2159.385254,2096.572998,7.773741245,7.449726105,7.623012066,7.77766037,7.679457188
